INFO:tensorflow:step: 1820, lr: 0.000850, klw: 0.0915, cost: 0.2366, recon: 0.2017, kl: 0.3814, train_time_taken: 8.6805
INFO:tensorflow:step: 1840, lr: 0.000849, klw: 0.0924, cost: 0.2265, recon: 0.1912, kl: 0.3819, train_time_taken: 8.4963
INFO:tensorflow:step: 1860, lr: 0.000847, klw: 0.0932, cost: 0.2427, recon: 0.2086, kl: 0.3661, train_time_taken: 8.6223
INFO:tensorflow:step: 1880, lr: 0.000846, klw: 0.0940, cost: 0.2084, recon: 0.1739, kl: 0.3674, train_time_taken: 8.6142
INFO:tensorflow:step: 1900, lr: 0.000844, klw: 0.0948, cost: 0.2170, recon: 0.1827, kl: 0.3616, train_time_taken: 8.6669
INFO:tensorflow:step: 1920, lr: 0.000843, klw: 0.0956, cost: 0.2417, recon: 0.2064, kl: 0.3693, train_time_taken: 9.0385
INFO:tensorflow:step: 1940, lr: 0.000841, klw: 0.0964, cost: 0.2535, recon: 0.2201, kl: 0.3461, train_time_taken: 8.7897
INFO:tensorflow:step: 1960, lr: 0.000840, klw: 0.0972, cost: 0.2240, recon: 0.1916, kl: 0.3331, train_time_taken: 8.4627
INFO:tensorflow:step: 1980, lr: 0.000838, klw: 0.0980, cost: 0.2445, recon: 0.2129, kl: 0.3221, train_time_taken: 8.5539
INFO:tensorflow:step: 2000, lr: 0.000837, klw: 0.0988, cost: 0.2456, recon: 0.2139, kl: 0.3205, train_time_taken: 8.4420
INFO:tensorflow:step: 2020, lr: 0.000835, klw: 0.0996, cost: 0.2990, recon: 0.2662, kl: 0.3295, train_time_taken: 8.5783
INFO:tensorflow:step: 2040, lr: 0.000834, klw: 0.1004, cost: 0.2595, recon: 0.2276, kl: 0.3183, train_time_taken: 8.6696
INFO:tensorflow:step: 2060, lr: 0.000832, klw: 0.1012, cost: 0.2081, recon: 0.1768, kl: 0.3091, train_time_taken: 8.6700
INFO:tensorflow:step: 2080, lr: 0.000831, klw: 0.1020, cost: 0.2315, recon: 0.2010, kl: 0.2983, train_time_taken: 8.4917
INFO:tensorflow:step: 2100, lr: 0.000830, klw: 0.1028, cost: 0.2185, recon: 0.1902, kl: 0.2756, train_time_taken: 8.5933
INFO:tensorflow:step: 2120, lr: 0.000828, klw: 0.1036, cost: 0.2248, recon: 0.1951, kl: 0.2861, train_time_taken: 8.6035
